Episode 0:	Step: 1200	Reward: -1261.0
Test after Episode 0:	Average Step: 10000.0	Average Reward: -10000.0
Episode 1:	Step: 473	Reward: -462.0
Episode 2:	Step: 170	Reward: -159.0
Episode 3:	Step: 284	Reward: -273.0
Episode 4:	Step: 403	Reward: -419.0
Episode 5:	Step: 1065	Reward: -1054.0
Episode 6:	Step: 591	Reward: -580.0
Episode 7:	Step: 155	Reward: -144.0
Episode 8:	Step: 392	Reward: -390.0
Episode 9:	Step: 110	Reward: -99.0
Episode 10:	Step: 121	Reward: -119.0
Episode 11:	Step: 363	Reward: -361.0
Episode 12:	Step: 430	Reward: -419.0
Episode 13:	Step: 98	Reward: -87.0
Episode 14:	Step: 1430	Reward: -1419.0
Episode 15:	Step: 110	Reward: -99.0
Episode 16:	Step: 53	Reward: -42.0
Episode 17:	Step: 42	Reward: -31.0
Episode 18:	Step: 2	Reward: 9.0
Episode 19:	Step: 229	Reward: -218.0
Episode 20:	Step: 187	Reward: -185.0
Test after Episode 20:	Average Step: 10000.0	Average Reward: -10000.0
Episode 21:	Step: 258	Reward: -256.0
Episode 22:	Step: 16	Reward: -5.0
Episode 23:	Step: 171	Reward: -160.0
Episode 24:	Step: 202	Reward: -191.0
Episode 25:	Step: 275	Reward: -264.0
Episode 26:	Step: 156	Reward: -154.0
Episode 27:	Step: 81	Reward: -70.0
Episode 28:	Step: 43	Reward: -32.0
Episode 29:	Step: 288	Reward: -277.0
Episode 30:	Step: 363	Reward: -352.0
Episode 31:	Step: 163	Reward: -152.0
Episode 32:	Step: 131	Reward: -120.0
Episode 33:	Step: 118	Reward: -107.0
Episode 34:	Step: 161	Reward: -150.0
Episode 35:	Step: 244	Reward: -233.0
Episode 36:	Step: 125	Reward: -114.0
Episode 37:	Step: 143	Reward: -132.0
Episode 38:	Step: 164	Reward: -153.0
Episode 39:	Step: 12	Reward: -1.0
Episode 40:	Step: 199	Reward: -188.0
Test after Episode 40:	Average Step: 10000.0	Average Reward: -100000.0
Episode 41:	Step: 267	Reward: -256.0
Episode 42:	Step: 170	Reward: -159.0
Episode 43:	Step: 149	Reward: -138.0
Episode 44:	Step: 164	Reward: -153.0
Episode 45:	Step: 208	Reward: -206.0
Episode 46:	Step: 181	Reward: -170.0
Episode 47:	Step: 22	Reward: -11.0
Episode 48:	Step: 175	Reward: -164.0
Episode 49:	Step: 147	Reward: -136.0
Episode 50:	Step: 122	Reward: -111.0
Episode 51:	Step: 198	Reward: -187.0
Episode 52:	Step: 121	Reward: -110.0
Episode 53:	Step: 173	Reward: -162.0
Episode 54:	Step: 196	Reward: -185.0
Episode 55:	Step: 7	Reward: 4.0
Episode 56:	Step: 166	Reward: -155.0
Episode 57:	Step: 100	Reward: -89.0
Episode 58:	Step: 241	Reward: -230.0
Episode 59:	Step: 12	Reward: -1.0
Episode 60:	Step: 229	Reward: -218.0
Test after Episode 60:	Average Step: 10000.0	Average Reward: -10000.0
Episode 61:	Step: 31	Reward: -20.0
Episode 62:	Step: 90	Reward: -79.0
Episode 63:	Step: 108	Reward: -97.0
Episode 64:	Step: 41	Reward: -30.0
Episode 65:	Step: 186	Reward: -175.0
Episode 66:	Step: 133	Reward: -122.0
Episode 67:	Step: 102	Reward: -91.0
Episode 68:	Step: 224	Reward: -222.0
Episode 69:	Step: 6	Reward: 5.0
Episode 70:	Step: 190	Reward: -179.0
Episode 71:	Step: 70	Reward: -59.0
Episode 72:	Step: 57	Reward: -46.0
Episode 73:	Step: 119	Reward: -108.0
Episode 74:	Step: 131	Reward: -129.0
Episode 75:	Step: 174	Reward: -163.0
Episode 76:	Step: 59	Reward: -48.0
Episode 77:	Step: 5	Reward: 6.0
Episode 78:	Step: 96	Reward: -85.0
Episode 79:	Step: 183	Reward: -181.0
Episode 80:	Step: 67	Reward: -56.0
Test after Episode 80:	Average Step: 10000.0	Average Reward: -10000.0
Episode 81:	Step: 167	Reward: -156.0
Episode 82:	Step: 49	Reward: -38.0
Episode 83:	Step: 107	Reward: -96.0
Episode 84:	Step: 252	Reward: -241.0
Episode 85:	Step: 124	Reward: -113.0
Episode 86:	Step: 46	Reward: -35.0
Episode 87:	Step: 114	Reward: -103.0
Episode 88:	Step: 98	Reward: -87.0
Episode 89:	Step: 129	Reward: -118.0
Episode 90:	Step: 190	Reward: -188.0
Episode 91:	Step: 53	Reward: -42.0
Episode 92:	Step: 95	Reward: -84.0
Episode 93:	Step: 190	Reward: -179.0
Episode 94:	Step: 113	Reward: -102.0
Episode 95:	Step: 87	Reward: -76.0
Episode 96:	Step: 10	Reward: 1.0
Episode 97:	Step: 102	Reward: -91.0
Episode 98:	Step: 5	Reward: 6.0
Episode 99:	Step: 31	Reward: -20.0
Episode 100:	Step: 40	Reward: -29.0
Test after Episode 100:	Average Step: 10000.0	Average Reward: -10000.0
Episode 101:	Step: 105	Reward: -94.0
Episode 102:	Step: 94	Reward: -83.0
Episode 103:	Step: 33	Reward: -22.0
Episode 104:	Step: 114	Reward: -103.0
Episode 105:	Step: 50	Reward: -39.0
Episode 106:	Step: 154	Reward: -143.0
Episode 107:	Step: 32	Reward: -21.0
Episode 108:	Step: 72	Reward: -61.0
Episode 109:	Step: 96	Reward: -85.0
Episode 110:	Step: 110	Reward: -99.0
Episode 111:	Step: 64	Reward: -53.0
Episode 112:	Step: 157	Reward: -146.0
Episode 113:	Step: 54	Reward: -43.0
Episode 114:	Step: 52	Reward: -41.0
Episode 115:	Step: 25	Reward: -14.0
Episode 116:	Step: 49	Reward: -38.0
Episode 117:	Step: 37	Reward: -26.0
Episode 118:	Step: 102	Reward: -91.0
Episode 119:	Step: 92	Reward: -81.0
Episode 120:	Step: 53	Reward: -42.0
Test after Episode 120:	Average Step: 10000.0	Average Reward: -10000.0
Episode 121:	Step: 57	Reward: -46.0
Episode 122:	Step: 133	Reward: -122.0
Episode 123:	Step: 111	Reward: -100.0
Episode 124:	Step: 208	Reward: -197.0
Episode 125:	Step: 76	Reward: -65.0
Episode 126:	Step: 52	Reward: -41.0
Episode 127:	Step: 132	Reward: -121.0
Episode 128:	Step: 109	Reward: -98.0
Episode 129:	Step: 52	Reward: -41.0
Episode 130:	Step: 35	Reward: -24.0
Episode 131:	Step: 65	Reward: -54.0
Episode 132:	Step: 193	Reward: -182.0
Episode 133:	Step: 154	Reward: -143.0
Episode 134:	Step: 154	Reward: -143.0
Episode 135:	Step: 75	Reward: -64.0
Episode 136:	Step: 55	Reward: -44.0
Episode 137:	Step: 102	Reward: -91.0
Episode 138:	Step: 85	Reward: -74.0
Episode 139:	Step: 116	Reward: -105.0
Episode 140:	Step: 56	Reward: -45.0
Test after Episode 140:	Average Step: 10000.0	Average Reward: -10000.0
Episode 141:	Step: 92	Reward: -81.0
Episode 142:	Step: 87	Reward: -76.0
Episode 143:	Step: 116	Reward: -105.0
Episode 144:	Step: 99	Reward: -88.0
Episode 145:	Step: 121	Reward: -110.0
Episode 146:	Step: 38	Reward: -27.0
Episode 147:	Step: 135	Reward: -124.0
Episode 148:	Step: 130	Reward: -119.0
Episode 149:	Step: 33	Reward: -22.0
Episode 150:	Step: 79	Reward: -77.0
Episode 151:	Step: 233	Reward: -222.0
Episode 152:	Step: 70	Reward: -59.0
Episode 153:	Step: 158	Reward: -147.0
Episode 154:	Step: 140	Reward: -129.0
Episode 155:	Step: 181	Reward: -170.0
Episode 156:	Step: 22	Reward: -11.0
Episode 157:	Step: 66	Reward: -55.0
Episode 158:	Step: 19	Reward: -8.0
Episode 159:	Step: 125	Reward: -114.0
Episode 160:	Step: 43	Reward: -32.0
Test after Episode 160:	Average Step: 10000.0	Average Reward: -10000.0
Episode 161:	Step: 48	Reward: -37.0
Episode 162:	Step: 178	Reward: -167.0
Episode 163:	Step: 48	Reward: -37.0
Episode 164:	Step: 37	Reward: -26.0
Episode 165:	Step: 82	Reward: -71.0
Episode 166:	Step: 4	Reward: 7.0
Episode 167:	Step: 110	Reward: -99.0
Episode 168:	Step: 54	Reward: -43.0
